MDF0,MHNR,RVS,LABEL
37.500000,225.255615,11.000000,1
7.833333,122.648880,7.000000,1
14.285714,141.151962,5.000000,1
3.400000,493.254517,9.000000,1
6.166667,112.669342,2.000000,1
1.900000,231.125824,4.000000,1
0.800000,507.641785,5.000000,1
20.666666,156.318832,1.000000,1
4.000000,376.906616,11.000000,1
1.900000,746.506470,11.000000,1
5.333333,139.431702,10.000000,1
3.714286,292.846649,8.000000,1
1.000000,837.117126,11.000000,1
2.600000,980.102112,11.000000,1
11.428572,265.217407,8.000000,1
46.500000,33.660271,4.000000,1
6.888889,114.659088,10.000000,1
3.750000,549.299744,10.000000,1
24.799999,445.934692,11.000000,1
22.400000,222.773102,11.000000,1
2.600000,193.833359,7.000000,1
3.700000,247.830521,11.000000,1
21.000000,15.560526,3.000000,1
4.625000,213.287354,10.000000,1
11.750000,82.074486,6.000000,1
7.900000,592.933960,11.000000,1
15.000000,134.346573,7.000000,1
4.000000,18.091599,7.000000,1
9.100000,128.558136,11.000000,1
22.000000,33.418320,6.000000,1
15.571428,23.270037,8.000000,1
9.000000,152.750397,9.000000,1
5.400000,158.134842,11.000000,1
1.800000,316.617157,11.000000,1
1.500000,70.249268,4.000000,1
4.571429,198.209045,8.000000,1
5.900000,378.463409,11.000000,1
53.857143,73.148590,9.000000,1
30.900000,322.690674,11.000000,1
0.300000,722.098083,11.000000,1
144.666672,4.591134,5.000000,1
22.500000,11.708890,6.000000,1
95.555557,22.936626,11.000000,1
127.666664,79.634331,5.000000,1
32.099998,79.298409,11.000000,1
7.375000,160.092972,9.000000,1
78.599998,17.718925,7.000000,1
41.200001,72.476898,11.000000,1
6.300000,148.630493,11.000000,1
61.857143,44.240669,9.000000,1
5.700000,105.903320,11.000000,1
25.375000,60.059372,9.000000,1
9.888889,165.681976,10.000000,1
48.666668,13.940617,8.000000,1
11.166667,23.021301,8.000000,1
4.888889,13.100553,10.000000,1
7.500000,41.735279,7.000000,1
6.700000,110.060059,11.000000,1
5.000000,116.999542,9.000000,1
8.875000,119.715935,11.000000,1
5.300000,145.374573,11.000000,1
46.000000,7.333684,4.000000,1
9.750000,67.305252,9.000000,1
90.666664,41.782505,9.000000,1
8.875000,23.354731,10.000000,1
4.900000,60.599842,11.000000,1
9.000000,42.797932,11.000000,1
7.333333,57.944191,11.000000,1
11.750000,104.873215,11.000000,1
53.900002,280.263153,11.000000,1
23.299999,868.942444,11.000000,1
0.500000,1240.134888,11.000000,1
5.300000,318.712585,11.000000,1
11.500000,52.241138,11.000000,1
6.750000,69.412308,10.000000,1
3.333333,61.717018,8.000000,1
9.600000,17.645023,9.000000,1
3.625000,112.336700,10.000000,1
11.000000,34.759964,9.000000,1
1.714286,58.246994,8.000000,1
48.500000,218.025543,11.000000,1
59.375000,134.058228,11.000000,1
4.666667,362.675171,8.000000,1
12.600000,208.220596,7.000000,1
56.299999,241.805756,11.000000,1
6.000000,296.449585,11.000000,1
12.375000,73.333305,8.000000,1
0.000000,0.000000,0.000000,1
5.500000,62.278019,11.000000,1
8.666667,32.665627,6.000000,1
10.600000,284.462036,11.000000,1
20.285715,72.630318,7.000000,1
3.900000,424.783234,11.000000,1
6.125000,133.328506,11.000000,1
7.700000,77.024300,11.000000,1
5.500000,17.338533,8.000000,1
4.200000,301.935669,11.000000,1
4.200000,33.468296,11.000000,1
